"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","14","Get file","LMS service","Tue Aug 19 10:29:33 UTC 2025","passed","Tue Aug 19 10:29:33 UTC 2025","Get entity","Files","",""
"","287","Get exercise","LMS service","Tue Aug 19 10:29:30 UTC 2025","passed","Tue Aug 19 10:29:30 UTC 2025","Get entity","Exercises","",""
"","20","Update exercise","LMS service","Tue Aug 19 10:29:29 UTC 2025","passed","Tue Aug 19 10:29:30 UTC 2025","Update entity","Exercises","",""
"","18","Get exercises","LMS service","Tue Aug 19 10:29:32 UTC 2025","passed","Tue Aug 19 10:29:32 UTC 2025","Get entities","Exercises","",""
"","294","Create exercise","LMS service","Tue Aug 19 10:29:29 UTC 2025","passed","Tue Aug 19 10:29:29 UTC 2025","Create entity","Exercises","",""
"","23","Delete exercise","LMS service","Tue Aug 19 10:29:31 UTC 2025","passed","Tue Aug 19 10:29:31 UTC 2025","Delete entity","Exercises","",""
"","531","Create user","LMS service","Tue Aug 19 10:29:35 UTC 2025","passed","Tue Aug 19 10:29:35 UTC 2025","Create entity","Users","",""
"","547","Login with correct email and password","LMS service","Tue Aug 19 10:29:26 UTC 2025","passed","Tue Aug 19 10:29:27 UTC 2025","Login","Authentification","",""
"","38","Create file with empty filename","LMS service","Tue Aug 19 10:29:34 UTC 2025","passed","Tue Aug 19 10:29:34 UTC 2025","Validate entity","Files","",""
"","523","Create user","LMS service","Tue Aug 19 10:29:34 UTC 2025","passed","Tue Aug 19 10:29:35 UTC 2025","Create entity","Users","",""
"","299","Update courses","LMS service","Tue Aug 19 10:29:27 UTC 2025","passed","Tue Aug 19 10:29:27 UTC 2025","Update entity","Courses","",""
"","22","Delete file","LMS service","Tue Aug 19 10:29:33 UTC 2025","passed","Tue Aug 19 10:29:33 UTC 2025","Delete entity","Files","",""
"","34","Create file","LMS service","Tue Aug 19 10:29:32 UTC 2025","passed","Tue Aug 19 10:29:32 UTC 2025","Create entity","Files","",""
"","31","Create course","LMS service","Tue Aug 19 10:29:28 UTC 2025","passed","Tue Aug 19 10:29:28 UTC 2025","Create entity","Courses","",""
"","12","Get user me","LMS service","Tue Aug 19 10:29:36 UTC 2025","passed","Tue Aug 19 10:29:36 UTC 2025","Get entity","Users","",""
"","268","Create file with empty directory","LMS service","Tue Aug 19 10:29:34 UTC 2025","passed","Tue Aug 19 10:29:34 UTC 2025","Validate entity","Files","",""
"","15","Get file with incorrect file id","LMS service","Tue Aug 19 10:29:35 UTC 2025","passed","Tue Aug 19 10:29:35 UTC 2025","Validate entity","Files","",""
"","28","Get courses","LMS service","Tue Aug 19 10:29:28 UTC 2025","passed","Tue Aug 19 10:29:28 UTC 2025","Get entity","Courses","",""
"","520","Create user","LMS service","Tue Aug 19 10:29:35 UTC 2025","passed","Tue Aug 19 10:29:36 UTC 2025","Create entity","Users","",""
