"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","22","Delete exercise","LMS service","Tue Aug 19 12:51:16 UTC 2025","passed","Tue Aug 19 12:51:16 UTC 2025","Delete entity","Exercises","",""
"","285","Get exercise","LMS service","Tue Aug 19 12:51:15 UTC 2025","passed","Tue Aug 19 12:51:15 UTC 2025","Get entity","Exercises","",""
"","300","Update courses","LMS service","Tue Aug 19 12:51:12 UTC 2025","passed","Tue Aug 19 12:51:12 UTC 2025","Update entity","Courses","",""
"","22","Delete file","LMS service","Tue Aug 19 12:51:18 UTC 2025","passed","Tue Aug 19 12:51:18 UTC 2025","Delete entity","Files","",""
"","17","Get file","LMS service","Tue Aug 19 12:51:18 UTC 2025","passed","Tue Aug 19 12:51:18 UTC 2025","Get entity","Files","",""
"","32","Create course","LMS service","Tue Aug 19 12:51:13 UTC 2025","passed","Tue Aug 19 12:51:13 UTC 2025","Create entity","Courses","",""
"","291","Create exercise","LMS service","Tue Aug 19 12:51:14 UTC 2025","passed","Tue Aug 19 12:51:14 UTC 2025","Create entity","Exercises","",""
"","20","Update exercise","LMS service","Tue Aug 19 12:51:15 UTC 2025","passed","Tue Aug 19 12:51:15 UTC 2025","Update entity","Exercises","",""
"","522","Create user","LMS service","Tue Aug 19 12:51:20 UTC 2025","passed","Tue Aug 19 12:51:21 UTC 2025","Create entity","Users","",""
"","285","Get exercises","LMS service","Tue Aug 19 12:51:16 UTC 2025","passed","Tue Aug 19 12:51:17 UTC 2025","Get entities","Exercises","",""
"","269","Create file with empty directory","LMS service","Tue Aug 19 12:51:19 UTC 2025","passed","Tue Aug 19 12:51:19 UTC 2025","Validate entity","Files","",""
"","14","Get file with incorrect file id","LMS service","Tue Aug 19 12:51:20 UTC 2025","passed","Tue Aug 19 12:51:20 UTC 2025","Validate entity","Files","",""
"","37","Create file","LMS service","Tue Aug 19 12:51:17 UTC 2025","passed","Tue Aug 19 12:51:17 UTC 2025","Create entity","Files","",""
"","15","Get user me","LMS service","Tue Aug 19 12:51:21 UTC 2025","passed","Tue Aug 19 12:51:21 UTC 2025","Get entity","Users","",""
"","521","Create user","LMS service","Tue Aug 19 12:51:19 UTC 2025","passed","Tue Aug 19 12:51:20 UTC 2025","Create entity","Users","",""
"","548","Login with correct email and password","LMS service","Tue Aug 19 12:51:11 UTC 2025","passed","Tue Aug 19 12:51:12 UTC 2025","Login","Authentification","",""
"","34","Get courses","LMS service","Tue Aug 19 12:51:13 UTC 2025","passed","Tue Aug 19 12:51:13 UTC 2025","Get entity","Courses","",""
"","39","Create file with empty filename","LMS service","Tue Aug 19 12:51:19 UTC 2025","passed","Tue Aug 19 12:51:19 UTC 2025","Validate entity","Files","",""
"","527","Create user","LMS service","Tue Aug 19 12:51:20 UTC 2025","passed","Tue Aug 19 12:51:20 UTC 2025","Create entity","Users","",""
